essay_id,total_score,n_phrases,PH_level_coverage,PH_ratio_A1,PH_ratio_A2,PH_ratio_B1,PH_ratio_B2,PH_ratio_C1,PH_ratio_C2,PH_ratio_A,PH_ratio_B,PH_ratio_C,PH_ratio_AboveB1,PH_ratio_AboveB2,PH_mean_score,PH_high_low_ratio,PH_score_var,PH_pv_ratio,PH_multi_ratio
TR3*0100*2000*02,28.0,22,1.0,0.18181818181818182,0.4090909090909091,0.18181818181818182,0.09090909090909091,0.045454545454545456,0.09090909090909091,0.5909090909090909,0.2727272727272727,0.13636363636363635,0.4090909090909091,0.22727272727272727,2.6818181818181817,0.6923076923076923,2.1260330578512394,0.13636363636363635,0.09090909090909091
TR4*0100*2000*02,32.0,23,1.0,0.13043478260869565,0.17391304347826086,0.43478260869565216,0.17391304347826086,0.043478260869565216,0.043478260869565216,0.30434782608695654,0.6086956521739131,0.08695652173913043,0.6956521739130435,0.2608695652173913,2.9565217391304346,2.2857142857142856,1.43289224952741,0.13043478260869565,0.21739130434782608
TR13*0100*2000*02,21.0,11,0.9090909090909091,0.3,0.2,0.3,0.2,0.0,0.0,0.5,0.5,0.0,0.5,0.2,2.4,1.0,1.24,0.09090909090909091,0.09090909090909091
TR15*0100*2000*02,23.0,23,0.9565217391304348,0.13636363636363635,0.4090909090909091,0.2727272727272727,0.045454545454545456,0.045454545454545456,0.09090909090909091,0.5454545454545454,0.3181818181818182,0.13636363636363635,0.45454545454545453,0.18181818181818182,2.727272727272727,0.8333333333333334,1.9256198347107436,0.13043478260869565,0.30434782608695654
TR78*0100*2000*02,28.0,13,1.0,0.15384615384615385,0.38461538461538464,0.23076923076923078,0.07692307692307693,0.0,0.15384615384615385,0.5384615384615384,0.3076923076923077,0.15384615384615385,0.46153846153846156,0.23076923076923078,2.8461538461538463,0.8571428571428571,2.4378698224852067,0.15384615384615385,0.15384615384615385
TR421*0100*2000*02,28.0,22,0.9545454545454546,0.09523809523809523,0.3333333333333333,0.23809523809523808,0.19047619047619047,0.047619047619047616,0.09523809523809523,0.42857142857142855,0.42857142857142855,0.14285714285714285,0.5714285714285714,0.3333333333333333,3.0476190476190474,1.3333333333333333,1.9501133786848068,0.045454545454545456,0.3181818181818182
TR423*0100*2000*02,30.0,11,1.0,0.2727272727272727,0.09090909090909091,0.5454545454545454,0.0,0.09090909090909091,0.0,0.36363636363636365,0.5454545454545454,0.09090909090909091,0.6363636363636364,0.09090909090909091,2.5454545454545454,1.75,1.3388429752066118,0.0,0.09090909090909091
TR424*0100*2000*02,29.0,9,1.0,0.2222222222222222,0.1111111111111111,0.2222222222222222,0.3333333333333333,0.1111111111111111,0.0,0.3333333333333333,0.5555555555555556,0.1111111111111111,0.6666666666666666,0.4444444444444444,3.0,2.0,1.7777777777777777,0.3333333333333333,0.1111111111111111
TR449*0100*2000*02,35.0,15,1.0,0.2,0.26666666666666666,0.4,0.06666666666666667,0.06666666666666667,0.0,0.4666666666666667,0.4666666666666667,0.06666666666666667,0.5333333333333333,0.13333333333333333,2.533333333333333,1.1428571428571428,1.182222222222222,0.13333333333333333,0.26666666666666666
TR505*0100*2000*02,26.0,12,1.0,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.25,0.08333333333333333,0.0,0.5,0.4166666666666667,0.08333333333333333,0.5,0.3333333333333333,2.75,1.0,1.5208333333333333,0.08333333333333333,0.25
