essay_id,total_score,n_phrases,PH_level_coverage,PH_ratio_A1,PH_ratio_A2,PH_ratio_B1,PH_ratio_B2,PH_ratio_C1,PH_ratio_C2,PH_ratio_A,PH_ratio_B,PH_ratio_C,PH_ratio_AboveB1,PH_ratio_AboveB2,PH_mean_score,PH_high_low_ratio,PH_score_var,PH_pv_ratio,PH_multi_ratio
TR3*0100*2000*02_A1,28.0,8,1.0,0.25,0.125,0.125,0.375,0.0,0.125,0.375,0.5,0.125,0.625,0.5,3.125,1.6666666666666667,2.609375,0.125,0.125
TR3*0100*2000*02_A2,28.0,17,1.0,0.11764705882352941,0.47058823529411764,0.17647058823529413,0.11764705882352941,0.058823529411764705,0.058823529411764705,0.5882352941176471,0.29411764705882354,0.11764705882352941,0.4117647058823529,0.23529411764705882,2.7058823529411766,0.7,1.7370242214532874,0.11764705882352941,0.058823529411764705
TR4*0100*2000*02_A1,32.0,9,1.0,0.2222222222222222,0.1111111111111111,0.3333333333333333,0.2222222222222222,0.0,0.1111111111111111,0.3333333333333333,0.5555555555555556,0.1111111111111111,0.6666666666666666,0.3333333333333333,3.0,2.0,2.2222222222222223,0.3333333333333333,0.0
TR4*0100*2000*02_A3,32.0,15,1.0,0.06666666666666667,0.2,0.4666666666666667,0.2,0.06666666666666667,0.0,0.26666666666666666,0.6666666666666666,0.06666666666666667,0.7333333333333333,0.26666666666666666,3.0,2.75,0.9333333333333333,0.0,0.3333333333333333
TR13*0100*2000*02_A1,21.0,5,0.8,0.25,0.25,0.25,0.25,0.0,0.0,0.5,0.5,0.0,0.5,0.25,2.5,1.0,1.25,0.2,0.2
TR13*0100*2000*02_A2,21.0,6,1.0,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.0,0.0,0.5,0.5,0.0,0.5,0.16666666666666666,2.3333333333333335,1.0,1.2222222222222223,0.0,0.0
TR15*0100*2000*02_A1,23.0,7,1.0,0.2857142857142857,0.14285714285714285,0.2857142857142857,0.0,0.14285714285714285,0.14285714285714285,0.42857142857142855,0.2857142857142857,0.2857142857142857,0.5714285714285714,0.2857142857142857,3.0,1.3333333333333333,3.142857142857143,0.14285714285714285,0.14285714285714285
TR15*0100*2000*02_A4,23.0,16,0.9375,0.06666666666666667,0.5333333333333333,0.26666666666666666,0.06666666666666667,0.0,0.06666666666666667,0.6,0.3333333333333333,0.06666666666666667,0.4,0.13333333333333333,2.6,0.6666666666666666,1.3066666666666664,0.125,0.375
TR78*0100*2000*02_A1,28.0,7,1.0,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.0,0.2857142857142857,0.2857142857142857,0.42857142857142855,0.2857142857142857,0.7142857142857143,0.42857142857142855,3.5714285714285716,2.5,3.102040816326531,0.14285714285714285,0.0
TR78*0100*2000*02_A4,28.0,6,1.0,0.16666666666666666,0.6666666666666666,0.16666666666666666,0.0,0.0,0.0,0.8333333333333334,0.16666666666666666,0.0,0.16666666666666666,0.0,2.0,0.2,0.3333333333333333,0.16666666666666666,0.3333333333333333
TR421*0100*2000*02_A1,28.0,9,1.0,0.0,0.3333333333333333,0.2222222222222222,0.3333333333333333,0.0,0.1111111111111111,0.3333333333333333,0.5555555555555556,0.1111111111111111,0.6666666666666666,0.4444444444444444,3.3333333333333335,2.0,1.5555555555555556,0.0,0.2222222222222222
TR421*0100*2000*02_A3,28.0,13,0.9230769230769231,0.16666666666666666,0.25,0.3333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.4166666666666667,0.4166666666666667,0.16666666666666666,0.5833333333333334,0.25,2.9166666666666665,1.4,2.076388888888889,0.07692307692307693,0.38461538461538464
TR423*0100*2000*02_A1,30.0,3,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.3333333333333333,0.0,2.0,0.5,0.6666666666666666,0.0,0.0
TR423*0100*2000*02_A3,30.0,9,1.0,0.2222222222222222,0.0,0.5555555555555556,0.1111111111111111,0.1111111111111111,0.0,0.2222222222222222,0.6666666666666666,0.1111111111111111,0.7777777777777778,0.2222222222222222,2.888888888888889,3.5,1.432098765432099,0.0,0.1111111111111111
TR424*0100*2000*02_A1,29.0,2,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,4.0,nan,0.0,0.0,0.0
TR424*0100*2000*02_A4,29.0,8,1.0,0.25,0.125,0.25,0.125,0.125,0.125,0.375,0.375,0.25,0.625,0.375,3.125,1.6666666666666667,2.859375,0.375,0.125
TR449*0100*2000*02_A1,35.0,6,1.0,0.3333333333333333,0.0,0.5,0.16666666666666666,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.6666666666666666,0.16666666666666666,2.5,2.0,1.25,0.16666666666666666,0.0
TR449*0100*2000*02_A4,35.0,8,1.0,0.125,0.5,0.375,0.0,0.0,0.0,0.625,0.375,0.0,0.375,0.0,2.25,0.6,0.4375,0.125,0.5
TR505*0100*2000*02_A1,26.0,8,1.0,0.125,0.375,0.125,0.375,0.0,0.0,0.5,0.5,0.0,0.5,0.375,2.75,1.0,1.1875,0.0,0.125
TR505*0100*2000*02_A3,26.0,7,1.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.42857142857142855,0.14285714285714285,0.0,0.2857142857142857,0.5714285714285714,0.14285714285714285,0.7142857142857143,0.5714285714285714,3.2857142857142856,2.5,1.6326530612244896,0.14285714285714285,0.2857142857142857
TR509*0100*2000*02_A1,25.0,6,1.0,0.3333333333333333,0.0,0.5,0.16666666666666666,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.6666666666666666,0.16666666666666666,2.5,2.0,1.25,0.0,0.0
TR509*0100*2000*02_A4,25.0,8,1.0,0.125,0.375,0.25,0.125,0.0,0.125,0.5,0.375,0.125,0.5,0.25,2.875,1.0,2.109375,0.125,0.25
TR520*0100*2000*02_A1,37.0,10,1.0,0.3,0.3,0.1,0.1,0.1,0.1,0.6,0.2,0.2,0.4,0.3,2.7,0.6666666666666666,2.81,0.1,0.3
TR520*0100*2000*02_A4,37.0,13,1.0,0.07692307692307693,0.38461538461538464,0.3076923076923077,0.23076923076923078,0.0,0.0,0.46153846153846156,0.5384615384615384,0.0,0.5384615384615384,0.23076923076923078,2.6923076923076925,1.1666666666666667,0.8284023668639056,0.07692307692307693,0.38461538461538464
TR521*0100*2000*02_A1,24.0,5,1.0,0.4,0.2,0.4,0.0,0.0,0.0,0.6,0.4,0.0,0.4,0.0,2.0,0.6666666666666666,0.8,0.0,0.4
TR521*0100*2000*02_A3,24.0,8,0.875,0.5714285714285714,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.7142857142857143,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.14285714285714285,2.0,0.4,2.0,0.0,0.25
TR522*0100*2000*02_A1,32.0,7,1.0,0.14285714285714285,0.5714285714285714,0.14285714285714285,0.14285714285714285,0.0,0.0,0.7142857142857143,0.2857142857142857,0.0,0.2857142857142857,0.14285714285714285,2.2857142857142856,0.4,0.7755102040816327,0.14285714285714285,0.0
TR522*0100*2000*02_A2,32.0,10,1.0,0.2,0.3,0.4,0.1,0.0,0.0,0.5,0.5,0.0,0.5,0.1,2.4,1.0,0.8400000000000001,0.0,0.1
TR524*0100*2000*02_A1,27.0,9,1.0,0.2222222222222222,0.3333333333333333,0.1111111111111111,0.2222222222222222,0.0,0.1111111111111111,0.5555555555555556,0.3333333333333333,0.1111111111111111,0.4444444444444444,0.3333333333333333,2.7777777777777777,0.8,2.3950617283950617,0.0,0.0
TR524*0100*2000*02_A2,27.0,12,1.0,0.0,0.3333333333333333,0.5,0.08333333333333333,0.08333333333333333,0.0,0.3333333333333333,0.5833333333333334,0.08333333333333333,0.6666666666666666,0.16666666666666666,2.9166666666666665,2.0,0.7430555555555555,0.0,0.0
TR529*0100*2000*02_A1,30.0,7,1.0,0.2857142857142857,0.0,0.2857142857142857,0.2857142857142857,0.0,0.14285714285714285,0.2857142857142857,0.5714285714285714,0.14285714285714285,0.7142857142857143,0.42857142857142855,3.142857142857143,2.5,2.6938775510204076,0.2857142857142857,0.0
